id,city,age,protectionorder,why1,killer1,killingway1,statusofkiller,year
1118, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Atesli Silah, Intihar ,2015
1119, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma,Tespit Edilemeyen,2015
1121, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2015
1122, Istanbul , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Bogulma,Sorusturma Suruyor,2015
1131, Izmir , Tespit Edilemeyen ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Yakilma, Sorusturma Suruyor ,2015
1134, Kars , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015
1136, Kayseri , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Atesli Silah, Tutuklu ,2015
1137, Kayseri , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Kesici Alet, Tutuklu ,2015
1138, Edirne , Resit ,   Yok ,Tartisma,Babasi,Darp, Tutuklu ,2015
1139, Kirikkale , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2015
1140, Kirsehir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Darp, Sorusturma Suruyor ,2015
1142, Kocaeli , Resit ,   Yok ,Tartisma,Uvey Oglu,Kesici Alet, Tutuklu ,2015
1143, Kocaeli , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2015
1145, Konya , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Sorusturma Suruyor ,2015
1147, Konya , Resit ,   Yok ,Kiskanclik,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015
1148, Konya , Resit ,   Yok ,Aldatma,Kocasi,Atesli Silah, Intihar ,2015
1149, Konya , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2015
1151, Konya , Resit ,   Yok ,Tartisma,Kocasinin Kardesi,Kesici Alet, Tutuklu ,2015
1152, Kutahya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015
